task_idx cum_sr kg_nodes phys mpf
1 1.0000 392 1.0000 1.0000
2 1.0000 393 1.0000 1.0000
3 1.0000 394 1.0000 1.0000
4 1.0000 395 1.0000 1.0000
5 1.0000 396 1.0000 1.0000
6 1.0000 397 1.0000 1.0000
7 1.0000 398 1.0000 1.0000
8 0.8750 398 0.2500 0.0000
9 0.8889 399 0.7500 1.0000
10 0.9000 400 0.8583 0.7167
11 0.9091 401 0.7500 1.0000
12 0.9167 402 1.0000 1.0000
13 0.9231 403 1.0000 1.0000
14 0.8571 403 0.2500 0.0000
15 0.8667 404 0.8042 0.6083
16 0.8750 405 1.0000 1.0000
17 0.8824 406 0.7920 1.0000
18 0.8889 407 1.0000 1.0000
19 0.8947 408 0.7500 1.0000
20 0.9000 409 1.0000 1.0000
21 0.9048 410 1.0000 1.0000
22 0.9091 411 1.0000 1.0000
23 0.9130 412 0.2500 0.0000
24 0.9167 413 1.0000 1.0000
25 0.9200 414 1.0000 1.0000
26 0.8846 414 0.2500 0.0000
27 0.8889 415 0.7500 1.0000
28 0.8929 416 0.9500 0.9000
29 0.8966 417 0.9167 0.8333
30 0.9000 418 1.0000 1.0000
31 0.9032 419 0.9940 1.0000
32 0.9062 420 0.6833 0.3667
33 0.9091 421 0.7500 1.0000
34 0.9118 422 1.0000 1.0000
35 0.9143 423 1.0000 1.0000
36 0.8889 423 0.2500 0.0000
37 0.8919 424 1.0000 1.0000
38 0.8947 425 0.9960 1.0000
39 0.8974 426 0.5000 0.0000
40 0.9000 427 1.0000 1.0000
41 0.9024 428 0.7500 1.0000
42 0.9048 429 1.0000 1.0000
43 0.8837 429 0.2500 0.0000
44 0.8864 430 1.0000 1.0000
45 0.8889 431 1.0000 1.0000
46 0.8913 432 1.0000 1.0000
47 0.8936 433 1.0000 1.0000
48 0.8958 434 1.0000 1.0000
49 0.8980 435 1.0000 1.0000
50 0.9000 436 1.0000 1.0000
51 0.9020 437 1.0000 1.0000
52 0.9038 438 1.0000 1.0000
53 0.9057 439 1.0000 1.0000
54 0.9074 440 0.9806 1.0000
55 0.9091 441 1.0000 1.0000
56 0.9107 443 0.7500 1.0000
57 0.9123 444 1.0000 1.0000
58 0.9138 445 1.0000 1.0000
59 0.9153 446 1.0000 1.0000
60 0.9167 447 1.0000 1.0000
61 0.9180 448 0.7500 1.0000
62 0.9194 449 0.7920 1.0000
63 0.9206 450 1.0000 1.0000
64 0.9219 451 0.9167 0.8333
65 0.9231 452 0.8583 0.7167
66 0.9242 453 0.8005 1.0000
67 0.9254 454 1.0000 1.0000
68 0.9265 455 1.0000 1.0000
69 0.9275 456 1.0000 1.0000
70 0.9286 457 1.0000 1.0000
71 0.9155 457 0.2500 0.0000
72 0.9167 458 1.0000 1.0000
73 0.9178 459 0.7500 1.0000
74 0.9189 460 0.7500 1.0000
75 0.9200 461 1.0000 1.0000
76 0.9079 461 0.2500 0.0000
77 0.8961 461 0.2500 0.0000
78 0.8974 462 1.0000 1.0000
79 0.8987 463 0.9500 0.9000
80 0.9000 464 0.2500 0.0000
81 0.8889 464 0.2500 0.0000
82 0.8780 464 0.2500 0.0000
83 0.8675 464 0.2500 0.0000
84 0.8690 465 1.0000 1.0000
85 0.8706 466 0.9940 1.0000
86 0.8721 467 1.0000 1.0000
87 0.8736 468 1.0000 1.0000
88 0.8750 469 0.9960 1.0000
89 0.8764 470 1.0000 1.0000
90 0.8778 471 1.0000 1.0000
91 0.8681 471 0.2500 0.0000
92 0.8696 472 1.0000 1.0000
93 0.8710 473 0.8042 0.6083
94 0.8723 474 1.0000 1.0000
95 0.8737 475 1.0000 1.0000
96 0.8750 476 0.7325 0.9650
97 0.8763 477 0.7500 1.0000
98 0.8776 478 1.0000 1.0000
99 0.8788 479 1.0000 1.0000
100 0.8800 480 1.0000 1.0000
